"GEOID","NAME","total population 2018","total male","total female","median age male","median age female","white (alone)","black (alone)","american indian/alaskan native","asian","hawaiian or pacific islander","other","2 or more races","hispanic or latino","house hold size","household size 4-or-more-person household!!3 or more workers","Total!!Public transportation (excluding taxicab)","Male Public transportation","Female Public transportation","median age for public transit","public transportation (white only)","Public transportation (BLACK only)","Public transportation (excluding taxicab)!! Below 100 percent of the poverty level","pub trans MBSA occupations","pub trans service occupations","pub trans Sales and office occupations","pub trans NCM occupations","pub trans PTM occupations","pub trans Military specific occupations","median household income","Median household income (black only)","Total!!In labor force!!Employed!!No health insurance coverage","total insurance coverage","count_below_pov","pct_below_pov"
"01001","Autauga County, Alabama",55200,26874,28326,36.9,38.9,42437,10565,159,568,32,409,1030,1528,21115,831,26,6,20,58.2,18980,8,0,6,8,6,0,6,0,58786,27643,54277,1892,8422,15.3784351319273
"01003","Baldwin County, Alabama",208107,101188,106919,41.8,44.1,179526,19764,1522,1680,9,2034,3572,9353,78622,2304,82,45,37,52,79973,0,8,61,13,0,0,8,0,55962,31112,205452,12372,21653,10.5660985024082
"01005","Barbour County, Alabama",25782,13697,12085,38.1,43.4,12216,12266,72,96,1,778,353,1106,9186,224,22,0,22,NA,4648,0,0,0,0,0,0,22,0,34186,23013,22882,1143,6597,28.8633181659083
"01007","Bibb County, Alabama",22527,12152,10375,37.5,43.1,17268,5018,8,37,0,9,187,547,6840,183,37,11,26,57.3,6611,11,11,0,0,0,0,37,0,45340,34000,20468,767,2863,13.9876880984952
"01009","Blount County, Alabama",57645,28434,29211,40.2,41.7,55054,862,141,198,18,437,935,5261,20600,500,31,31,0,NA,20373,0,0,14,0,0,0,17,0,48695,NA,57169,2358,8220,14.4003363582215
"01011","Bullock County, Alabama",10352,5663,4689,37.7,42.8,2276,7893,122,56,0,5,0,51,3609,89,0,0,0,NA,1059,0,0,0,0,0,0,0,0,32152,21875,9978,369,3110,31.3856090422848
"01013","Butler County, Alabama",20025,9368,10657,39.3,42.3,10414,9055,2,231,0,0,323,67,6708,117,0,0,0,NA,4388,0,0,0,0,0,0,0,0,39109,26260,19734,1131,4640,23.5449332724413
"01015","Calhoun County, Alabama",115098,55315,59783,38.1,40.9,85558,23676,353,1065,9,1701,2736,4203,45033,1339,152,95,57,40.7,36230,10,40,22,11,30,0,89,0,45197,28478,113561,5539,20819,18.5915467802574
"01017","Chambers County, Alabama",33826,16257,17569,41.3,44,19483,13319,97,405,0,175,347,768,13516,326,27,12,15,58.8,8205,27,0,0,0,6,0,21,0,39872,31185,33433,1698,5531,16.6225882070085
"01019","Cherokee County, Alabama",25853,12820,13033,45,46.5,23997,1267,236,55,0,90,208,398,10606,233,22,8,14,NA,9061,0,0,22,0,0,0,0,0,41014,35096,25587,1074,3827,15.007254617466
"01021","Chilton County, Alabama",43930,21672,22258,37,40.1,36599,4148,123,190,0,1858,1012,3416,16751,495,0,0,0,NA,14766,0,0,0,0,0,0,0,0,45182,30828,43609,2896,8034,18.5714285714286
"01023","Choctaw County, Alabama",13075,6253,6822,44.2,47.7,7420,5590,9,13,0,8,35,73,5350,79,0,0,0,NA,2601,0,0,0,0,0,0,0,0,34884,26250,12945,572,2864,22.2446601941748
"01025","Clarke County, Alabama",24387,11539,12848,41.4,43,12935,11173,25,123,0,0,131,48,9358,114,11,11,0,NA,4621,11,0,0,0,0,0,11,0,36127,22948,24098,754,6088,25.4058339940742
"01027","Clay County, Alabama",13378,6464,6914,43.5,44.1,11106,1977,155,18,0,26,96,415,5236,119,0,0,0,NA,4579,0,0,0,0,0,0,0,0,41225,29955,13128,789,2405,18.4432515337423
"01029","Cleburne County, Alabama",14938,7281,7657,41.7,44,14068,393,39,3,0,126,309,362,5726,228,1,1,0,NA,5148,1,1,0,0,0,0,1,0,40188,18693,14760,834,2719,18.5483320826796
"01031","Coffee County, Alabama",51288,25314,25974,38.1,40.1,38923,8829,617,666,0,644,1609,3549,19789,573,0,0,0,NA,17539,0,0,0,0,0,0,0,0,53155,37154,49581,2595,7604,15.0568294324977
"01033","Colbert County, Alabama",54495,26075,28420,41.2,44.3,43288,8615,367,267,29,723,1206,1349,21799,559,22,7,15,45.8,17841,1,1,9,6,0,0,7,0,47558,30676,54038,1936,8785,16.2712303902502
"01035","Conecuh County, Alabama",12514,6037,6477,42.7,46.2,6369,5971,56,18,0,2,98,105,4574,48,8,0,8,NA,2139,0,0,0,0,5,0,3,0,33177,29031,12469,598,2752,22.2276068168969
"01037","Coosa County, Alabama",10855,5501,5354,46,48.5,7133,3713,9,0,0,0,0,50,4103,141,18,18,0,NA,2742,18,18,0,0,0,18,0,0,38301,29795,10465,414,1459,13.9590508993494
"01039","Covington County, Alabama",37351,18172,19179,42.1,45.2,31624,4826,58,159,13,70,601,604,15008,374,7,0,7,NA,12761,0,7,0,7,0,0,0,0,40601,20903,36786,1722,6702,18.318482479637
"01041","Crenshaw County, Alabama",13865,6814,7051,39.8,44,9938,3198,109,188,0,146,286,275,5025,134,30,22,8,28.8,4166,0,0,12,0,0,18,0,0,39812,25313,13656,690,2148,15.7235927091721
"01043","Cullman County, Alabama",82313,40560,41753,39.7,41.8,78392,998,348,334,3,793,1445,3543,30730,877,34,34,0,42.7,31470,0,9,0,23,0,0,11,0,42558,38819,81446,4564,12831,15.8376123234917
"01045","Dale County, Alabama",49255,24234,25021,35.6,39.6,35889,9749,377,633,4,947,1656,3070,18670,388,7,0,7,NA,15199,0,0,0,0,7,0,0,0,45960,29792,46406,2985,8798,18.3850879759268
"01047","Dallas County, Alabama",40029,18448,21581,37.6,40.4,11257,28210,10,224,23,25,280,412,16336,469,0,0,0,NA,4863,0,0,0,0,0,0,0,0,31602,24396,39749,1979,12247,31.0884906330913
"01049","DeKalb County, Alabama",71200,35304,35896,38.6,39.8,60972,1004,934,140,621,5899,1630,10220,26132,934,15,12,3,19.8,24389,0,9,0,0,0,0,15,0,39233,35101,70443,5337,15500,22.075055187638
"01051","Elmore County, Alabama",81212,39450,41762,37.7,39.8,60824,17402,209,392,0,774,1611,2347,29143,844,42,42,0,52.5,26049,0,0,4,0,0,19,19,0,59347,40899,76330,2708,9462,12.3391103634443
"01053","Escambia County, Alabama",37328,19067,18261,38.3,40.9,23095,11920,1437,135,72,232,437,838,13428,215,0,0,0,NA,7845,0,0,0,0,0,0,0,0,35000,22506,34533,1474,8268,24.0467672977925
"01055","Etowah County, Alabama",102939,49651,53288,39.8,43.1,82710,16212,751,739,66,751,1710,3880,38777,1045,86,42,44,64.1,33882,21,13,65,19,0,0,2,0,44023,29107,102146,5238,17524,17.2589032461393
"01057","Fayette County, Alabama",16585,8170,8415,41.6,45.9,14095,1978,0,108,6,0,398,285,6947,158,0,0,0,NA,5531,0,0,0,0,0,0,0,0,37458,30353,16385,653,3258,20.0479970463356
"01059","Franklin County, Alabama",31542,15602,15940,35.2,40.7,26467,1388,488,119,0,2767,313,5333,11210,418,26,10,16,55.2,10728,0,0,0,0,16,4,6,0,40459,39519,31319,1634,6299,20.2351505027466
"01061","Geneva County, Alabama",26491,12971,13520,41.6,43.4,22871,2529,210,109,4,243,525,1027,10479,253,3,3,0,NA,8805,3,0,0,0,0,0,3,0,38142,25867,26169,1729,6282,23.9981663292203
"01063","Greene County, Alabama",8426,3950,4476,37.1,45.3,1445,6713,48,0,0,0,220,143,2955,22,0,0,0,NA,665,0,0,0,0,0,0,0,0,21804,17617,8371,211,3225,38.650527325024
"01065","Hale County, Alabama",14887,7019,7868,37.7,42.2,5898,8748,29,39,0,101,72,130,5658,79,6,0,6,NA,2234,6,0,0,6,0,0,0,0,30571,23618,14649,448,3809,26.0035499726925
"01067","Henry County, Alabama",17124,8232,8892,41.6,45.9,12179,4749,4,0,0,37,155,448,6669,114,0,0,0,NA,5061,0,0,0,0,0,0,0,0,48610,32035,16821,1159,2270,13.536076326774
"01069","Houston County, Alabama",104352,50029,54323,37.8,41.5,72387,28078,305,873,18,522,2169,3437,39253,876,41,13,28,47,31784,17,5,15,5,0,2,19,0,45496,28002,103510,5698,18913,18.3111136929139
"01071","Jackson County, Alabama",52094,25536,26558,41.3,44.7,47412,1799,615,215,77,552,1424,1505,20626,389,8,0,8,NA,18175,0,8,0,0,0,0,8,0,39816,29000,51593,2451,10418,20.2102894389695
"01073","Jefferson County, Alabama",659892,312348,347544,36,39.2,342591,281702,1564,10250,215,12398,11172,25048,260924,8411,2694,1214,1480,42.3,165798,2328,835,317,1173,399,177,628,0,51979,36475,652744,32780,109707,17.0047771539818
"01075","Lamar County, Alabama",13933,6800,7133,43.8,45.8,12187,1558,0,0,0,119,69,218,5974,127,36,0,36,NA,4812,11,0,36,0,0,0,0,0,36756,19359,13767,469,2916,21.2119007783516
"01077","Lauderdale County, Alabama",92585,44315,48270,39.3,43,80561,9364,417,612,61,179,1391,2412,38514,1039,13,10,3,NA,34863,13,3,0,0,3,0,10,0,46265,29756,91710,4842,13703,15.177829713235
"01079","Lawrence County, Alabama",33171,16003,17168,40.9,43.1,25942,3627,1878,44,24,5,1651,707,12811,400,18,0,18,NA,9709,0,0,0,18,0,0,0,0,44515,30732,32920,1007,5508,16.7523343167371
"01081","Lee County, Alabama",159287,78372,80915,30,32.7,111986,36675,226,6577,18,861,2944,5865,59373,1610,504,207,297,24.6,51806,83,304,262,57,142,15,28,0,48056,30862,157838,6863,32815,21.399877398234
"01083","Limestone County, Alabama",93052,46427,46625,38.4,40.7,75143,12468,853,1174,24,1662,1728,5479,32126,1043,71,43,28,56.2,31796,0,43,0,13,0,0,58,0,56460,45192,90107,4280,12384,13.7450331860863
"01085","Lowndes County, Alabama",10236,4830,5406,39.9,43.5,2546,7601,13,0,0,0,76,70,4180,146,12,5,7,45.5,1153,12,0,0,3,2,0,7,0,30833,23493,10139,418,2820,27.9235567878008
"01087","Macon County, Alabama",19054,8790,10264,36,39.1,3025,15740,63,50,0,107,69,328,7637,177,37,0,37,54.1,1215,37,0,4,0,16,0,17,0,32074,29201,18828,789,4302,25.7790028763183
"01089","Madison County, Alabama",357560,174665,182895,37,40.1,243835,86012,1975,9073,324,4500,11841,17294,145256,4322,300,170,130,33,118159,210,101,49,50,73,25,103,0,63417,39512,352428,17393,45960,13.1980978198442
"01091","Marengo County, Alabama",19538,9446,10092,39.2,44.3,8855,10518,51,0,0,58,56,115,7768,65,0,0,0,NA,3401,0,0,0,0,0,0,0,0,32809,22865,19318,604,4201,21.8245103641748
"01093","Marion County, Alabama",29965,14898,15067,43.1,45.2,27886,1097,122,49,0,300,511,752,12212,369,6,0,6,NA,11182,0,0,6,0,0,0,0,0,35392,31406,29498,1519,5144,17.4591860978176
"01095","Marshall County, Alabama",95145,46977,48168,36.9,40.3,87887,2456,389,570,46,2096,1701,12961,34896,1257,197,170,27,28,35597,93,0,33,15,9,0,140,0,42490,40220,94296,6451,20354,21.6884929726043
"01097","Mobile County, Alabama",414659,197928,216731,36.2,38.9,243658,147434,2915,8117,62,5004,7469,11973,155831,4179,802,398,404,44.1,108077,650,269,91,407,173,48,78,5,46166,30098,408043,23741,78208,19.2803875405229
"01099","Monroe County, Alabama",21512,10230,11282,39.9,43.8,11814,8927,346,120,0,24,281,302,8149,103,42,21,21,58.4,4203,5,1,0,20,0,0,22,0,30141,16778,21279,509,6561,30.9102044662207
"01101","Montgomery County, Alabama",226941,107354,119587,34.3,37.7,82862,130866,414,6104,56,2522,4117,7749,89835,2500,546,260,286,38.8,39988,393,53,99,224,106,76,41,0,47990,36806,221976,12038,45479,20.6941897555138
"01103","Morgan County, Alabama",119122,58660,60462,39.1,42.1,95966,15228,740,775,48,4054,2311,9691,45646,1400,198,129,69,32.6,41820,117,16,48,45,0,105,0,0,49751,30435,117351,6170,17920,15.3019836220957
"01105","Perry County, Alabama",9486,4436,5050,35.4,40.8,2838,6588,6,21,0,33,0,89,3079,67,0,0,0,NA,839,0,0,0,0,0,0,0,0,23561,20262,9327,315,3616,41.7503752453527
"01107","Pickens County, Alabama",20298,9708,10590,39.8,44.3,11362,8367,25,13,8,262,261,932,7530,97,6,6,0,NA,4481,6,0,0,0,0,0,6,0,37458,22405,18877,663,4430,23.4863747216626
"01109","Pike County, Alabama",33403,16027,17376,29.1,32.9,18960,12697,209,715,3,23,796,263,11547,226,19,0,19,47.7,8388,0,1,3,2,14,0,0,0,34678,21162,33214,1143,8374,26.5942581300813
"01111","Randolph County, Alabama",22574,10989,11585,41.2,44.2,17443,4547,51,68,51,84,330,665,8643,238,11,0,11,NA,6597,0,0,0,11,0,0,0,0,41449,31885,22324,1319,3912,17.7230100122321
"01113","Russell County, Alabama",58213,28124,30089,34.9,38,29256,24957,165,518,72,840,2405,3120,22740,556,57,22,35,NA,12680,57,0,0,0,0,22,35,0,40978,35088,56501,4170,11491,20.1215241297191
"01115","St. Clair County, Alabama",87306,43755,43551,39.3,41.7,76224,8252,315,737,8,689,1081,2089,32172,1297,83,83,0,49,33381,10,12,12,2,0,20,49,0,54887,43634,85382,3996,11268,13.2038106844467
"01117","Shelby County, Alabama",211261,102478,108783,38,39.8,169598,25455,468,4249,47,7515,3929,12125,78328,3368,30,16,14,NA,84583,0,0,14,0,16,0,0,0,75761,61900,209638,7859,17557,8.44354458626295
"01119","Sumter County, Alabama",12985,6014,6971,34.3,39,3201,9346,8,338,0,59,33,13,5047,49,17,0,17,NA,1237,17,0,0,0,17,0,0,0,23132,19530,12846,621,3792,31.3336638572137
"01121","Talladega County, Alabama",80565,39156,41409,40.4,41.9,51720,26010,345,470,28,678,1314,1818,31407,584,107,84,23,30.8,20318,52,0,24,9,10,0,64,0,41012,28110,77590,3396,15401,19.9484482669292
"01123","Tallapoosa County, Alabama",40636,19517,21119,42.6,45.3,28251,11145,130,155,0,555,400,954,16448,302,14,11,3,NA,11247,0,0,11,0,3,0,0,0,43361,23161,40110,1330,8131,20.2879385198862
"01125","Tuscaloosa County, Alabama",206213,99539,106674,31.3,34.1,132877,65260,393,3302,73,1983,2325,7437,72379,2158,283,85,198,39,61222,41,28,53,31,125,8,66,0,52221,36006,204693,8050,34058,17.4094842789157
"01127","Walker County, Alabama",64493,31506,32987,40.5,43.7,58547,4007,109,319,0,338,1173,1545,25036,494,50,50,0,24.7,22167,0,2,14,34,0,2,0,0,41748,23750,63756,3279,12525,19.7343543202874
"01129","Washington County, Alabama",16643,8420,8223,42.1,45.4,11003,4086,1227,62,0,5,260,182,6007,110,0,0,0,NA,3897,0,0,0,0,0,0,0,0,40794,27972,16520,753,3446,21.0352826272738
"01131","Wilcox County, Alabama",10809,5134,5675,38.9,42.2,2903,7511,22,0,0,57,316,70,3804,43,9,0,9,NA,1041,9,0,0,9,0,0,0,0,27237,23522,10533,304,3254,31.061473844979
"01133","Winston County, Alabama",23875,11840,12035,43.8,46.1,23001,90,93,31,9,161,490,734,9403,114,33,31,2,41.6,8451,0,0,0,0,2,0,31,0,38504,NA,23541,1280,3817,16.2363350206304
"02013","Aleutians East Borough, Alaska",3425,1989,1436,42.3,45,605,144,1349,878,25,159,265,346,860,40,2,0,2,NA,512,0,0,0,0,2,0,0,0,69706,NA,3420,1134,525,15.3733528550512
"02016","Aleutians West Census Area, Alaska",5750,3432,2318,39.3,35.2,1699,246,651,2300,148,314,392,798,1176,65,26,18,8,50.6,1298,0,0,3,3,15,0,5,0,85517,55833,5549,607,472,8.54762767113365
"02020","Anchorage Municipality, Alaska",296112,151144,144968,32.4,34.1,186522,16439,21876,28445,6890,6813,29127,26847,106524,5727,2430,1511,919,28.6,106269,297,223,384,848,779,151,250,18,83280,56477,284984,19890,26498,9.17057166390952
"02050","Bethel Census Area, Alaska",18040,9381,8659,27.6,26.5,1986,119,14927,187,3,124,694,429,4558,300,27,15,12,37.8,1242,0,4,9,4,3,2,9,0,54212,118472,17768,1421,4871,27.7676433701972
"02060","Bristol Bay Borough, Alaska",890,526,364,43.3,40.8,501,4,291,3,2,8,81,32,333,8,3,0,3,NA,336,0,0,0,0,3,0,0,0,84688,NA,875,77,50,5.79374275782155
"02068","Denali Borough, Alaska",2232,1117,1115,44.8,37.6,1810,18,44,101,0,5,254,9,639,15,7,3,4,NA,1270,0,4,0,0,4,3,0,0,84196,NA,2189,346,369,16.9499310978411
"02070","Dillingham Census Area, Alaska",4975,2573,2402,31.7,28.4,875,67,3587,76,3,34,333,173,1420,60,18,9,9,28.5,571,0,0,2,4,7,5,0,0,58750,70938,4957,442,849,17.2455819622182
"02090","Fairbanks North Star Borough, Alaska",99653,53846,45807,30.1,32.1,75281,4493,7233,3068,561,1227,7790,7951,36513,1460,492,313,179,28.9,41617,19,50,114,52,141,94,81,10,77095,61970,92697,4503,7749,8.12008802263439
"02100","Haines Borough, Alaska",2518,1335,1183,45,44.7,2040,1,217,74,4,11,171,97,1026,25,3,0,3,NA,1044,0,0,0,3,0,0,0,0,64342,NA,2512,237,224,9.03590157321501
"02105","Hoonah-Angoon Census Area, Alaska",2132,1095,1037,49.8,50.9,971,68,821,60,3,24,185,142,799,18,17,9,8,28.8,533,0,0,2,11,1,3,0,0,63603,NA,2127,314,207,9.71374941342093
"02110","Juneau City and Borough, Alaska",32330,16517,15813,37.4,38.7,22182,325,3532,2314,320,415,3242,2123,12521,555,876,630,246,39.3,12849,4,147,200,227,111,61,273,4,88213,NA,31651,1937,2514,7.90590899084877
"02122","Kenai Peninsula Borough, Alaska",58220,30314,27906,40.5,41.1,48489,370,4493,886,194,518,3270,2375,21741,744,165,60,105,43.1,21401,0,74,37,78,9,16,25,0,66684,81563,57071,4970,6827,11.9910773878526
"02130","Ketchikan Gateway Borough, Alaska",13804,7060,6744,39.3,39.9,9219,103,2013,1062,5,143,1259,701,5327,271,249,88,161,30.9,4898,0,26,41,91,80,18,19,0,70356,50000,13510,957,1433,10.5483989694516
"02150","Kodiak Island Borough, Alaska",13649,7281,6368,33.8,33.2,7284,36,1862,3144,90,193,1040,1219,4373,349,1,1,0,NA,3968,0,0,0,0,0,1,0,0,78281,NA,13024,1529,1243,9.29484782771256
"02158","Kusilvak Census Area, Alaska",8198,4388,3810,24.5,23.2,319,60,7480,32,2,3,302,81,1692,112,2,0,2,NA,283,0,2,2,0,0,0,0,0,35539,NA,8189,610,3296,40.4516445753559
"02164","Lake and Peninsula Borough, Alaska",1375,710,665,36.3,28.6,314,9,926,34,5,2,85,19,425,11,2,0,2,NA,216,0,0,2,0,0,0,0,0,46406,NA,1375,193,217,15.8857979502196
"02170","Matanuska-Susitna Borough, Alaska",103464,53912,49552,34.8,35.3,85927,1121,5888,1437,226,484,8381,4944,30879,1036,329,211,118,44.2,36852,0,41,136,59,26,46,62,0,75905,61186,101435,7184,10476,10.3365598081876
"02180","Nome Census Area, Alaska",9925,5240,4685,28.7,27.5,1601,89,7396,160,43,23,613,253,2875,180,14,12,2,32.5,1038,0,0,6,2,6,0,0,0,58987,NA,9687,906,2221,23.1378268569643
"02185","North Slope Borough, Alaska",9797,6116,3681,37.5,30.4,3099,84,5093,548,175,98,700,207,1966,141,146,128,18,50.7,2878,0,27,26,8,0,18,94,0,75431,99671,9735,705,904,9.33691386077257
"02188","Northwest Arctic Borough, Alaska",7734,4156,3578,28.1,26.3,859,87,6382,76,0,41,289,89,1860,136,4,1,3,NA,622,0,0,4,0,0,0,0,0,62949,NA,7708,773,1921,25.0914315569488
"02195","Petersburg Borough, Alaska",3255,1649,1606,39.3,42.7,2346,23,237,302,17,6,324,337,1170,90,14,8,6,49.5,1151,0,3,3,4,0,2,5,0,66907,23750,3245,159,267,8.23565700185071
"02198","Prince of Wales-Hyder Census Area, Alaska",6474,3514,2960,42,40.3,3053,24,2583,76,41,24,673,244,2356,82,37,6,31,40.3,1464,0,0,14,2,16,1,4,0,54191,NA,6474,740,972,15.1519875292284
"02220","Sitka City and Borough, Alaska",8738,4471,4267,37.2,40.5,5655,103,1118,632,8,45,1177,566,3561,159,48,15,33,37.3,3276,0,30,0,6,27,3,12,0,71534,NA,8550,836,639,7.470189385083
"02230","Skagway Municipality, Alaska",1061,555,506,39.4,37.8,917,13,55,19,0,5,52,55,400,15,5,4,1,58.8,583,0,0,2,1,0,0,2,0,72237,NA,1061,165,56,5.31309297912713
"02240","Southeast Fairbanks Census Area, Alaska",6876,3779,3097,38.2,34.2,5269,47,907,156,2,140,355,381,2163,93,10,10,0,NA,2410,0,0,0,10,0,0,0,0,71541,33750,6748,442,730,10.752688172043
"02261","Valdez-Cordova Census Area, Alaska",9301,4898,4403,39.4,38.7,6803,25,1188,327,57,125,776,466,3093,131,36,5,31,35.7,3844,0,9,18,13,0,0,5,0,82306,NA,9028,681,747,8.13636858729986
"02275","Wrangell City and Borough, Alaska",2484,1302,1182,51.6,48.3,1670,2,496,69,9,30,208,121,1074,30,7,3,4,57.3,799,0,0,4,2,0,0,1,0,57583,NA,2463,198,192,7.79537149817296
"02282","Yakutat City and Borough, Alaska",689,369,320,41.5,27.8,309,2,195,57,16,5,105,50,232,9,1,0,1,NA,160,0,0,0,0,1,0,0,0,65833,NA,689,72,46,6.67634252539913
"02290","Yukon-Koyukuk Census Area, Alaska",5415,2910,2505,35.9,34.3,1229,7,3820,33,0,8,318,131,1906,41,10,5,5,47,701,0,2,5,0,0,0,5,0,40000,NA,5385,678,1350,25.1490312965723
"04001","Apache County, Arizona",71522,35240,36282,33.9,35.4,16362,513,52708,286,18,497,1138,4445,20395,485,192,111,81,47.3,5296,13,29,66,16,31,55,24,0,32963,50737,70781,3661,24761,35.2801208252593
"04003","Cochise County, Arizona",126279,64135,62144,38.8,42.8,107243,4734,1642,2362,464,4096,5738,44598,49250,1194,351,279,72,25.6,39163,64,41,32,61,7,74,80,97,48649,67946,116140,5054,20192,17.2191190892423
"04005","Coconino County, Arizona",140217,68918,71299,30.7,30.5,89502,1869,37388,2908,176,3866,4508,19666,47276,2153,1002,551,451,27.3,45543,29,382,328,353,177,65,79,0,57616,24479,139384,9317,24168,18.9345032905045
"04007","Gila County, Arizona",53400,26370,27030,48.4,51.3,41095,317,8562,486,20,1133,1787,9992,21708,517,32,16,16,24.7,14273,0,19,9,6,7,10,0,0,42092,12760,52693,2993,11807,22.489095445801
"04009","Graham County, Arizona",37879,20330,17549,33.3,33.1,29917,752,4808,246,51,996,1109,12453,10782,370,41,25,16,28.8,10478,0,0,9,12,0,0,20,0,51352,NA,34003,1087,7122,21.2863889054935
"04011","Greenlee County, Arizona",9504,5064,4440,32.5,36,8642,213,436,29,0,163,21,4414,3225,37,0,0,0,NA,3400,0,0,0,0,0,0,0,0,60962,75625,9459,276,1115,11.8806606286628
"04012","La Paz County, Arizona",20701,10677,10024,55.7,56.2,15914,170,2924,158,8,932,595,5614,8912,100,46,38,8,42.6,4628,0,14,0,8,6,32,0,0,33333,78472,20560,1280,4507,22.090971473385
"04013","Maricopa County, Arizona",4253913,2104145,2149768,35,37.3,3301814,232690,82699,176740,9405,296569,153996,1311091,1520767,75919,41442,22389,19053,36.2,1550209,6512,7814,8778,11732,12257,2378,6265,32,61606,45167,4222760,247720,618496,14.7317845129714
"04015","Mohave County, Arizona",206064,104047,102017,49.8,52.1,186510,2262,4862,2512,509,4976,4433,33481,85485,1923,654,369,285,30.7,62361,33,154,24,354,149,55,72,0,43266,27904,203056,10825,35296,17.4762953977174
"04017","Navajo County, Arizona",108705,54533,54172,35.1,38,51934,964,48328,685,87,3459,3248,12329,34407,890,359,140,219,31.4,18277,14,97,19,162,49,33,96,0,40054,48309,106276,5919,30163,28.5269778219133
"04019","Pima County, Arizona",1019722,501879,517843,36.7,40.1,777452,35973,38200,29475,1610,88847,48165,376826,400907,13154,11018,5871,5147,33,335524,1230,2955,2193,4375,2815,482,1142,11,51037,41978,998748,53583,176222,17.7805894911875
"04021","Pinal County, Arizona",419721,219048,200673,37.7,40.3,336611,18782,20782,7589,1410,18046,16501,125373,137286,6245,310,119,191,37.8,118153,14,35,90,71,96,2,51,0,55550,61717,393843,16144,55859,14.2388478205455
"04023","Santa Cruz County, Arizona",46584,22285,24299,35.1,38,39656,248,362,430,0,5376,512,38899,15430,424,54,39,15,30.5,14537,0,10,25,25,0,4,0,0,40467,NA,46251,2656,11080,23.9754187042887
"04025","Yavapai County, Arizona",224645,109795,114850,51.2,54.3,205647,1274,3202,2247,226,6477,5572,32461,96007,2230,323,225,98,37.1,75270,8,223,0,282,16,21,4,0,50180,53580,223086,12836,30813,14.0010723568222
"04027","Yuma County, Arizona",207829,106973,100856,32.8,36.4,155842,4498,2677,2734,128,36390,5560,131670,72463,3225,1478,912,566,32.4,56050,66,380,124,168,62,1068,56,0,44058,43241,201230,12812,40591,20.0558327980631
"05001","Arkansas County, Arkansas",18124,8733,9391,40.3,42.2,13146,4677,18,0,0,76,207,554,7682,147,2,0,2,NA,5918,0,0,2,0,0,0,0,0,39466,25971,17883,750,3563,20.032609917913
"05003","Ashley County, Arkansas",20537,10013,10524,39.5,42.9,14737,5273,50,47,0,305,125,1097,7915,216,22,22,0,NA,5938,0,22,0,22,0,0,0,0,39635,19350,20383,1095,4110,20.1945754716981
"05005","Baxter County, Arkansas",41219,19992,21227,50.5,53.3,39814,74,130,172,13,301,715,927,18370,374,0,0,0,NA,15220,0,0,0,0,0,0,0,0,41481,NA,40837,1269,5676,13.9685977260422
"05007","Benton County, Arkansas",258980,128399,130581,34.5,36,227609,4359,3710,9862,1440,4495,7505,42577,94333,4510,172,57,115,25.9,108899,0,14,18,45,19,0,90,0,64141,61052,257463,13800,25356,9.91053316604716
"05009","Boone County, Arkansas",37288,18350,18938,40.1,44,35843,156,290,192,36,11,760,899,14870,563,15,0,15,NA,15273,0,0,0,15,0,0,0,0,43262,NA,36849,1473,5455,14.8856628281395
"05011","Bradley County, Arkansas",10948,5214,5734,38.8,41.1,7158,3176,127,0,0,463,24,1654,4537,126,0,0,0,NA,2847,0,0,0,0,0,0,0,0,39510,27596,10854,778,2513,23.2212160413972
"05013","Calhoun County, Arkansas",5202,2607,2595,44.2,46.3,3962,1125,7,0,10,10,88,206,1936,34,9,0,9,NA,1709,0,0,9,0,0,0,0,0,44022,28782,5146,191,788,15.5700454455641
"05015","Carroll County, Arkansas",27887,13897,13990,43.9,45.5,25826,335,188,334,208,417,579,4182,11161,311,4,0,4,NA,10779,0,4,4,0,0,0,0,0,43505,NA,27668,2110,4141,15.0052541942965
"05017","Chicot County, Arkansas",10826,5266,5560,40.3,45.1,4733,5861,24,43,0,64,101,580,4308,72,62,45,17,22.8,1538,55,0,62,0,0,0,0,0,33051,23653,10148,295,2962,29.1793911929859
"05019","Clark County, Arkansas",22385,10628,11757,31.8,35.5,15939,5374,86,156,8,506,316,1050,8505,305,86,44,42,44,7689,36,0,0,0,29,8,49,0,39752,30566,22038,942,3887,19.7731203581239
"05021","Clay County, Arkansas",15061,7414,7647,42.1,44.7,14443,93,66,0,0,232,227,300,6441,245,0,0,0,NA,5957,0,0,0,0,0,0,0,0,33935,NA,14933,616,3352,22.5663121044836
"05023","Cleburne County, Arkansas",25230,12472,12758,47.5,50.7,24473,140,273,152,0,42,150,618,10731,149,0,0,0,NA,9792,0,0,0,0,0,0,0,0,43391,NA,24902,1391,3631,14.6116700201207
"05025","Cleveland County, Arkansas",8226,4138,4088,41.3,44.7,7106,924,13,3,0,0,180,154,3292,61,5,0,5,NA,2845,0,0,0,5,0,0,0,0,42460,21042,8125,210,1574,19.3890120719389
"05027","Columbia County, Arkansas",23892,11444,12448,33.3,37,14476,8351,87,267,0,448,263,650,8962,221,6,6,0,NA,6115,6,0,0,0,0,0,6,0,36148,22820,23463,935,5563,25.1947463768116
"05029","Conway County, Arkansas",20906,10182,10724,39.7,43.3,17805,2282,64,19,0,37,699,812,8475,259,0,0,0,NA,7552,0,0,0,0,0,0,0,0,41196,35233,20793,789,3772,18.2275055571663
