city,city_ascii,ST,state_name
South Creek,South Creek,WA,Washington
Roslyn,Roslyn,WA,Washington
Sprague,Sprague,WA,Washington
Gig Harbor,Gig Harbor,WA,Washington
Lake Cassidy,Lake Cassidy,WA,Washington
Tenino,Tenino,WA,Washington
Jamestown,Jamestown,WA,Washington
Three Lakes,Three Lakes,WA,Washington
Curlew Lake,Curlew Lake,WA,Washington
Chain Lake,Chain Lake,WA,Washington
Pateros,Pateros,WA,Washington
Rosburg,Rosburg,WA,Washington
Parkland,Parkland,WA,Washington
Birch Bay,Birch Bay,WA,Washington
Ashford,Ashford,WA,Washington
Navy Yard City,Navy Yard City,WA,Washington
Omak,Omak,WA,Washington
Farmington,Farmington,WA,Washington
Buckley,Buckley,WA,Washington
Cathcart,Cathcart,WA,Washington
Poulsbo,Poulsbo,WA,Washington
Anacortes,Anacortes,WA,Washington
Maplewood,Maplewood,WA,Washington
Creston,Creston,WA,Washington
Rockford,Rockford,WA,Washington
Wishram,Wishram,WA,Washington
Centralia,Centralia,WA,Washington
South Hill,South Hill,WA,Washington
Longview Heights,Longview Heights,WA,Washington
Erlands Point-Kitsap Lake,Erlands Point-Kitsap Lake,WA,Washington
Amboy,Amboy,WA,Washington
St. John,St. John,WA,Washington
Dallesport,Dallesport,WA,Washington
Ketron Island,Ketron Island,WA,Washington
Mesa,Mesa,WA,Washington
Fife,Fife,WA,Washington
Moses Lake North,Moses Lake North,WA,Washington
Chewelah,Chewelah,WA,Washington
Grayland,Grayland,WA,Washington
Kittitas,Kittitas,WA,Washington
Camano,Camano,WA,Washington
Monroe North,Monroe North,WA,Washington
North Bonneville,North Bonneville,WA,Washington
Klickitat,Klickitat,WA,Washington
Loon Lake,Loon Lake,WA,Washington
Newport,Newport,WA,Washington
Mead,Mead,WA,Washington
Cashmere,Cashmere,WA,Washington
Aberdeen Gardens,Aberdeen Gardens,WA,Washington
Ocean Shores,Ocean Shores,WA,Washington
Basin City,Basin City,WA,Washington
Wilkeson,Wilkeson,WA,Washington
Meadow Glade,Meadow Glade,WA,Washington
Arlington Heights,Arlington Heights,WA,Washington
Uniontown,Uniontown,WA,Washington
Oakesdale,Oakesdale,WA,Washington
West Side Highway,West Side Highway,WA,Washington
Conconully,Conconully,WA,Washington
Latah,Latah,WA,Washington
Elma,Elma,WA,Washington
Tieton,Tieton,WA,Washington
Southworth,Southworth,WA,Washington
Danville,Danville,WA,Washington
Toppenish,Toppenish,WA,Washington
River Road,River Road,WA,Washington
Geneva,Geneva,WA,Washington
Yakima,Yakima,WA,Washington
Moxee,Moxee,WA,Washington
Edmonds,Edmonds,WA,Washington
Kalama,Kalama,WA,Washington
Laurier,Laurier,WA,Washington
Vashon,Vashon,WA,Washington
Country Homes,Country Homes,WA,Washington
Darrington,Darrington,WA,Washington
Metaline Falls,Metaline Falls,WA,Washington
Lyle,Lyle,WA,Washington
Cascade Valley,Cascade Valley,WA,Washington
Spangle,Spangle,WA,Washington
Methow,Methow,WA,Washington
Waterville,Waterville,WA,Washington
Lake Roesiger,Lake Roesiger,WA,Washington
Milton,Milton,WA,Washington
Krupp,Krupp,WA,Washington
Alderton,Alderton,WA,Washington
DuPont,DuPont,WA,Washington
Edgewood,Edgewood,WA,Washington
North Puyallup,North Puyallup,WA,Washington
Pacific Beach,Pacific Beach,WA,Washington
Manson,Manson,WA,Washington
Brewster,Brewster,WA,Washington
Battle Ground,Battle Ground,WA,Washington
Shoreline,Shoreline,WA,Washington
Cosmopolis,Cosmopolis,WA,Washington
Airway Heights,Airway Heights,WA,Washington
Grandview,Grandview,WA,Washington
Inchelium,Inchelium,WA,Washington
Grand Coulee,Grand Coulee,WA,Washington
Union,Union,WA,Washington
Torboy,Torboy,WA,Washington
Kelso,Kelso,WA,Washington
Westport,Westport,WA,Washington
Junction City,Junction City,WA,Washington
Lake Ketchum,Lake Ketchum,WA,Washington
West Pasco,West Pasco,WA,Washington
Des Moines,Des Moines,WA,Washington
Davenport,Davenport,WA,Washington
Seattle,Seattle,WA,Washington
Lake Stickney,Lake Stickney,WA,Washington
Carnation,Carnation,WA,Washington
Everett,Everett,WA,Washington
Warden,Warden,WA,Washington
Palouse,Palouse,WA,Washington
Terrace Heights,Terrace Heights,WA,Washington
Clarkston,Clarkston,WA,Washington
Elmer City,Elmer City,WA,Washington
Mossyrock,Mossyrock,WA,Washington
Summit View,Summit View,WA,Washington
Suquamish,Suquamish,WA,Washington
Newcastle,Newcastle,WA,Washington
Stanwood,Stanwood,WA,Washington
Kapowsin,Kapowsin,WA,Washington
Donald,Donald,WA,Washington
Altoona,Altoona,WA,Washington
South Prairie,South Prairie,WA,Washington
Eschbach,Eschbach,WA,Washington
Indianola,Indianola,WA,Washington
Reardan,Reardan,WA,Washington
Cowiche,Cowiche,WA,Washington
Sunday Lake,Sunday Lake,WA,Washington
Rocky Point,Rocky Point,WA,Washington
Burbank,Burbank,WA,Washington
Lakeland North,Lakeland North,WA,Washington
Granite Falls,Granite Falls,WA,Washington
Camas,Camas,WA,Washington
Skokomish,Skokomish,WA,Washington
Cusick,Cusick,WA,Washington
Rosalia,Rosalia,WA,Washington
Longbranch,Longbranch,WA,Washington
Granger,Granger,WA,Washington
North Fort Lewis,North Fort Lewis,WA,Washington
Tampico,Tampico,WA,Washington
Tukwila,Tukwila,WA,Washington
Cathlamet,Cathlamet,WA,Washington
Wenatchee,Wenatchee,WA,Washington
Port Ludlow,Port Ludlow,WA,Washington
Castle Rock,Castle Rock,WA,Washington
Glacier,Glacier,WA,Washington
Index,Index,WA,Washington
Republic,Republic,WA,Washington
Bellevue,Bellevue,WA,Washington
Malo,Malo,WA,Washington
Anderson Island,Anderson Island,WA,Washington
University Place,University Place,WA,Washington
