IATA,City,Airport,Country
AAA,Anaa,Anaa,French Polynesia
AAB,Arrabury,Arrabury,Australia
AAC,Arish,El Arish International Airport,Egypt
AAD,Ad-Dabbah,Ad-Dabbah,Sudan
AAE,Annaba,Les Salines,Algeria
AAF,Apalachicola (FL),Municipal,USA
AAG,Arapoti,Arapoti,Brazil
AAH,Aachen,Aachen/Merzbrück,Germany
AAI,Arraias,Arraias,Brazil
AAJ,Awaradam,Cayana Airstrip,Suriname
AAK,Aranuka,Aranuka,Kiribati
AAL,Aalborg,Aalborg Airport (Aalborg Lufthavn),Denmark
AAM,Mala Mala,Mala Mala,South Africa
AAN,Al Ain,Al Ain International Airport,United Arab Emirates
AAO,Anaco,Anzualegui,Venezuela
AAP,Samarinda,APT Pranoto Airport,Indonesia
AAQ,Anapa,Vityazevo Airport,Russia
AAR,Aarhus,Tirstrup,Denmark
AAS,Apalapsili,Apalapsili,Indonesia
AAT,Altay,Altay Airport,"Xinjiang, China"
AAU,Asau,Asau,Samoa
AAV,Alah,Alah,Philippines
AAW,Abbottabad,Abbottabad,Pakistan
AAX,Araxa,Araxa,Brazil
AAY,Al Ghaydah,Al Ghaydah,Yemen
AAZ,Quetzaltenango,Quetzaltenango Airport,Guatemala
ABA,Abakan,Abakan International Airport,Russia
ABB,Asaba,Asaba International,Nigeria
ABC,Albacete,Los Llanos,Spain
ABD,Abadan,Abadan,Iran
ABE,Allentown (PA),Lehigh Valley International,USA
ABF,Abaiang,Abaiang,Kiribati
ABG,Abingdon,Abingdon,Australia
ABH,Alpha,Alpha,Australia
ABI,Abilene,Municipal,USA
ABJ,Abidjan,Felix Houphouet Boigny International,Cote d'Ivoire
ABK,Kabri Dar,Kabri Dar,Ethiopia
ABL,Ambler (AK),Ambler,USA
ABM,Bamaga,Bamaga,Australia
ABN,Albina,Albina,Suriname
ABO,Aboisso,Aboisso,Cote d'Ivoire
ABP,Atkamba,Atkamba,Papua New Guinea
ABQ,Albuquerque (NM),Albuquerque International Sunport,USA
ABR,Aberdeen (SD),Municipal,USA
ABS,Abu Simbel,Abu Simbel Airport,Egypt
ABT,Al-Baha,Al-Aqiq,Saudi Arabia
ABU,Atambua,Atambua,Indonesia
